"","ID","region","MAT","MAP","ANPP"
"672",1093,"EMDI",9.7,206,5.684210526
"673",1094,"EMDI",9.8,789,11.36842105
"674",1095,"EMDI",9.9,1243,12.63157895
"675",1096,"EMDI",9.9,1646,7.894736842
"676",1097,"EMDI",10.1,686,9.684210526
"677",1098,"EMDI",10.2,506,5.052631579
"678",1099,"EMDI",10.2,600,11.36842105
"679",1100,"EMDI",10.4,625,4.421052632
"680",1101,"EMDI",10.7,888,17.47368421
"681",1102,"EMDI",10.7,632,8.736842105
"682",1103,"EMDI",10.7,635,4.842105263
"683",1104,"EMDI",11,1865,10.10526316
"684",1105,"EMDI",11.3,1834,11.57894737
"685",1106,"EMDI",11.9,1830,15.78947368
"686",1107,"EMDI",11.9,1172,8.631578947
"687",1108,"EMDI",12.1,1439,5.473684211
"688",1109,"EMDI",12.1,1024,15.57894737
"689",1110,"EMDI",12.5,962,6.105263158
"690",1111,"EMDI",12.7,1250,6.315789474
"691",1112,"EMDI",12.8,1424,6.210526316
"692",1113,"EMDI",12.9,1480,9.894736842
"693",1114,"EMDI",12.9,1419,7.578947368
"694",1115,"EMDI",13.1,1464,8.631578947
"695",1116,"EMDI",13.3,1400,9.831578947
"696",1117,"EMDI",13.4,2535,18.31578947
"697",1118,"EMDI",13.9,1251,9.431578947
"698",1119,"EMDI",14.1,1330,12
"699",1120,"EMDI",14.2,1774,18.10526316
"700",1121,"EMDI",14.3,1749,9.010526316
"701",1122,"EMDI",14.4,2483,13.83157895
"702",1123,"EMDI",14.4,1001,12.21052632
"703",1124,"EMDI",14.5,1308,7.368421053
"704",1125,"EMDI",14.5,706,4
"705",1126,"EMDI",15.2,1286,14.94736842
"706",1127,"EMDI",15.8,1997,18.31578947
"707",1128,"EMDI",16.5,1301,6.105263158
"708",1129,"EMDI",17.4,2562,18.73684211
"709",1130,"EMDI",18.1,1581,15.78947368
"710",1131,"EMDI",21.4,1332,12.90526316
"711",1132,"EMDI",24.7,1206,20.42105263
"712",1133,"EMDI",25.1,1163,12.73684211
"713",1134,"EMDI",26,456,11.26315789
"714",1135,"EMDI",-9.6,213,1.368421053
"715",1136,"EMDI",-5.4,500,5.810526316
"716",1137,"EMDI",-4,425,9.978947368
"717",1138,"EMDI",-4,425,6.863157895
"718",1139,"EMDI",-4,425,5.157894737
"719",1140,"EMDI",-1.1,432,5.747368421
"720",1141,"EMDI",-9.3,298,1.410526316
"721",1142,"EMDI",-5.7,454,5.473684211
"722",1143,"EMDI",-5,433,3.073684211
"723",1144,"EMDI",2.3,644,10.52631579
"724",1145,"EMDI",2.3,640,8.315789474
"725",1146,"EMDI",9.9,807,10.94736842
"726",1147,"EMDI",10.1,1536,17.47368421
"727",1148,"EMDI",10.5,919,17.76842105
"728",1149,"EMDI",10.8,1464,13.68421053
"729",1150,"EMDI",12.1,2079,11.51578947
"730",1151,"EMDI",12.7,944,12.21052632
"731",1152,"EMDI",12.9,1128,11.45263158
"732",1153,"EMDI",14.8,2138,12.25263158
"733",1154,"EMDI",15.2,1069,11.11578947
"734",1155,"EMDI",-6.7,515,7.642105263
"735",1156,"EMDI",-4.7,536,2.231578947
"736",1157,"EMDI",-4.4,400,2.526315789
"737",1158,"EMDI",-4,501,8.610526316
"738",1159,"EMDI",-4,650,5.2
"739",1160,"EMDI",-3.9,293,1.326315789
"740",1161,"EMDI",-3.6,424,1.894736842
"741",1162,"EMDI",-3.5,287,7.810526316
"742",1163,"EMDI",-3.5,420,2.526315789
"743",1164,"EMDI",-3.5,420,4.210526316
"744",1165,"EMDI",-3.5,418,2.315789474
"745",1166,"EMDI",-3.4,286.8,1.115789474
"746",1167,"EMDI",-3.4,432,2.947368421
"747",1168,"EMDI",-3.4,429,2.526315789
"748",1169,"EMDI",-3.4,418,2.736842105
"749",1170,"EMDI",-3.1,252,3.684210526
"750",1171,"EMDI",-2.1,387,4.905263158
"751",1172,"EMDI",-1.7,544,5.578947368
"752",1173,"EMDI",-1.6,395,1.747368421
"753",1174,"EMDI",-1.2,499,5.642105263
"754",1175,"EMDI",-1.1,405,2.442105263
"755",1176,"EMDI",-1.1,477,2.8
"756",1177,"EMDI",-1.1,364,4.842105263
"757",1178,"EMDI",-1,794,2.736842105
"758",1179,"EMDI",-1,362,2.736842105
"759",1180,"EMDI",-0.9,370,2.526315789
"760",1181,"EMDI",-0.9,376,2.631578947
"761",1182,"EMDI",-0.9,378,3.052631579
"762",1183,"EMDI",-0.6,500,4.421052632
"763",1184,"EMDI",-0.4,374,4.421052632
"764",1185,"EMDI",-0.3,374,3.789473684
"765",1186,"EMDI",1,422,4.273684211
"766",1187,"EMDI",1,454,7.578947368
"767",1188,"EMDI",1.3,579,0.842105263
"768",1189,"EMDI",1.4,630,6.905263158
"769",1190,"EMDI",1.5,1262,9.536842105
"770",1191,"EMDI",1.8,608,3.221052632
"771",1192,"EMDI",1.9,688,5.536842105
"772",1193,"EMDI",2.2,1108,4.463157895
"773",1194,"EMDI",2.7,424,6.947368421
"774",1195,"EMDI",2.8,704,5.473684211
"775",1196,"EMDI",2.8,706,4.357894737
"776",1197,"EMDI",2.8,701,2.947368421
"777",1198,"EMDI",2.8,702,3.157894737
"778",1199,"EMDI",2.8,697,3.726315789
"779",1200,"EMDI",2.9,709,3.684210526
"780",1201,"EMDI",2.9,709,3.578947368
"781",1202,"EMDI",2.9,710,2.736842105
"782",1203,"EMDI",2.9,708,4.421052632
"783",1204,"EMDI",2.9,710,4.631578947
"784",1205,"EMDI",2.9,709,3.368421053
"785",1206,"EMDI",2.9,709,4
"786",1207,"EMDI",3,711,5.473684211
"787",1208,"EMDI",3.2,582,9.052631579
"788",1209,"EMDI",3.3,578,5.2
"789",1210,"EMDI",3.6,597,4.147368421
